"key","display_name","aliases","ingredients","purpose","common_dosage","common_frequency","side_effects","warnings","avoid_if","rxnorm_id","rxnorm_name","drug_class","dosage_form","route","strength"
"paracetamol","Paracetamol","paracetamol|acetaminophen|crocin|dolo|calpol|paracetmol|paracitamol|pracetamol","paracetamol","Used for fever and mild to moderate pain relief.","Use only as prescribed. Avoid overdose.","Follow doctor's prescription.","Nausea, stomach discomfort, allergic rash, or liver injury in overdose.","Avoid overdose. Do not combine multiple paracetamol/acetaminophen medicines without advice. Use carefully in liver disease.","Avoid if allergic to paracetamol or if severe liver disease is present.","","","Analgesic / Antipyretic","Tablet / Oral","Oral","Not available"
"crocin","Crocin / Paracetamol","crocin|crocin 500|paracetamol|acetaminophen","paracetamol","Used for fever and mild to moderate pain relief.","Use only as prescribed. Avoid overdose.","Follow doctor's prescription.","Nausea, stomach discomfort, allergic rash, or liver injury in overdose.","Avoid overdose. Do not combine with other paracetamol medicines without advice. Use carefully in liver disease.","Avoid if allergic to paracetamol or if severe liver disease is present.","","","Analgesic / Antipyretic","Tablet / Oral","Oral","Not available"
"dolo","Dolo / Paracetamol","dolo|dolo 500|dolo 650|paracetamol|acetaminophen","paracetamol","Used for fever and mild to moderate pain relief.","Use only as prescribed. Avoid overdose.","Follow doctor's prescription.","Nausea, stomach discomfort, allergic rash, or liver injury in overdose.","Avoid overdose. Use carefully in liver disease and alcohol use.","Avoid if allergic to paracetamol or if severe liver disease is present.","","","Analgesic / Antipyretic","Tablet / Oral","Oral","Not available"
"calpol","Calpol / Paracetamol","calpol|calpol 500|paracetamol|acetaminophen","paracetamol","Used for fever and mild to moderate pain relief.","Use only as prescribed. Avoid overdose.","Follow doctor's prescription.","Nausea, stomach discomfort, allergic rash, or liver injury in overdose.","Avoid overdose and duplicate paracetamol medicines.","Avoid if allergic to paracetamol or if severe liver disease is present.","","","Analgesic / Antipyretic","Tablet / Oral","Oral","Not available"
"ibuprofen","Ibuprofen","ibuprofen|brufen|ibugesic|ibuprofen 400","ibuprofen","Used for pain, fever, inflammation, body pain, and headache.","Use only as prescribed.","Follow doctor's prescription.","Stomach pain, acidity, nausea, dizziness, or increased bleeding risk.","Use carefully in acidity, kidney disease, heart disease, high BP, asthma, or blood thinner use.","Avoid if allergic to NSAIDs or history of severe stomach ulcer/bleeding.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
"brufen","Brufen / Ibuprofen","brufen|ibuprofen|brufen 400","ibuprofen","Used for pain, fever, inflammation, and body pain.","Use only as prescribed.","Follow doctor's prescription.","Stomach pain, acidity, nausea, dizziness, or increased bleeding risk.","Use carefully in kidney disease, heart disease, acidity, asthma, or BP problems.","Avoid if allergic to ibuprofen or NSAIDs.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
"diclofenac","Diclofenac","diclofenac|voveran|reactin","diclofenac","Used for pain and inflammation such as muscle pain, joint pain, and injury pain.","Use only as prescribed.","Follow doctor's prescription.","Acidity, stomach pain, nausea, dizziness, swelling, or increased BP.","Use carefully in kidney, liver, heart disease, BP problems, or stomach ulcer history.","Avoid if allergic to diclofenac or NSAIDs.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
"aceclofenac","Aceclofenac","aceclofenac|zerodol|hifenac","aceclofenac","Used for pain and inflammation such as joint pain, dental pain, and body pain.","Use only as prescribed.","Follow doctor's prescription.","Acidity, nausea, stomach pain, dizziness, or diarrhea.","Use carefully in kidney, liver, heart disease, acidity, or ulcer history.","Avoid if allergic to aceclofenac or NSAIDs.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
"naproxen","Naproxen","naproxen|naprosyn","naproxen","Used for pain, inflammation, menstrual cramps, and joint pain.","Use only as prescribed.","Follow doctor's prescription.","Stomach pain, acidity, nausea, dizziness, or swelling.","Use carefully in kidney, liver, heart disease, BP problems, or ulcer history.","Avoid if allergic to naproxen or NSAIDs.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
"aspirin","Aspirin","aspirin|ecosprin|disprin","aspirin","Used for pain relief and sometimes for heart-related antiplatelet treatment when prescribed.","Use only as prescribed.","Follow doctor's prescription.","Acidity, stomach irritation, bleeding risk, nausea, or allergy.","Do not self-use for heart prevention. Use carefully with blood thinners or ulcer history.","Avoid if allergic to aspirin/NSAIDs or active bleeding/stomach ulcer.","","","NSAID / Pain reliever","Tablet / Oral","Oral","Not available"
