condition_name,condition_slug,symptom_names,symptom_slugs,symptom_probabilities,text,num_symptoms,max_symptom_probability,mean_symptom_probability,urgent_score,gp_score,self_score,label,override_applied,text_len_words,label_numeric
Stricture of the esophagus,stricture-of-the-esophagus,"['Difficulty in swallowing', 'Vomiting', 'Regurgitation', 'Lump in throat', 'Sharp chest pain', 'Nausea', 'Difficulty eating']","['difficulty-in-swallowing', 'vomiting', 'regurgitation', 'lump-in-throat', 'sharp-chest-pain', 'nausea', 'difficulty-eating']","[82, 53, 32, 26, 26, 26, 19]","Condition: Stricture of the esophagus. Patient reports: Difficulty in swallowing, Vomiting, Regurgitation, Lump in throat, Sharp chest pain, Nausea, Difficulty eating.",7,82,37.71428571428572,1,1,0,urgent,False,21,2
Idiopathic infrequent menstruation,idiopathic-infrequent-menstruation,"['Unpredictable menstruation', 'Painful menstruation', 'Vaginal discharge', 'Sharp abdominal pain', 'Scanty menstrual flow', 'Nausea', 'Infrequent menstruation']","['unpredictable-menstruation', 'painful-menstruation', 'vaginal-discharge', 'sharp-abdominal-pain', 'scanty-menstrual-flow', 'nausea', 'infrequent-menstruation']","[69, 37, 37, 37, 37, 28, 28]","Condition: Idiopathic infrequent menstruation. Patient reports: Unpredictable menstruation, Painful menstruation, Vaginal discharge, Sharp abdominal pain, Scanty menstrual flow, Nausea, Infrequent menstruation.",7,69,39.0,0,1,0,consult_gp,False,21,1
Ectopic pregnancy,ectopic-pregnancy,"['Sharp abdominal pain', 'Pain during pregnancy', 'Spotting or bleeding during pregnancy', 'Lower abdominal pain', 'Pelvic pain', 'Nausea', 'Dizziness']","['sharp-abdominal-pain', 'pain-during-pregnancy', 'spotting-or-bleeding-during-pregnancy', 'lower-abdominal-pain', 'pelvic-pain', 'nausea', 'dizziness']","[79, 66, 60, 60, 48, 27, 24]","Condition: Ectopic pregnancy. Patient reports: Sharp abdominal pain, Pain during pregnancy, Spotting or bleeding during pregnancy, Lower abdominal pain, Pelvic pain, Nausea, Dizziness.",7,79,52.0,0,2,0,urgent,True,23,2
Injury to the hip,injury-to-the-hip,"['Hip pain', 'Leg pain', 'Neck pain', 'Groin pain', 'Lower body pain', 'Hand or finger swelling', 'Peripheral edema']","['hip-pain', 'leg-pain', 'neck-pain', 'groin-pain', 'lower-body-pain', 'hand-or-finger-swelling', 'peripheral-edema']","[84, 45, 28, 28, 17, 17, 17]","Condition: Injury to the hip. Patient reports: Hip pain, Leg pain, Neck pain, Groin pain, Lower body pain, Hand or finger swelling, Peripheral edema.",7,84,33.714285714285715,0,1,0,consult_gp,False,24,1
Primary immunodeficiency,primary-immunodeficiency,"['Fatigue', 'Cough', 'Frontal headache', 'Painful sinuses', 'Upper abdominal pain', 'Decreased appetite', 'Arm stiffness or tightness']","['fatigue', 'cough', 'frontal-headache', 'painful-sinuses', 'upper-abdominal-pain', 'decreased-appetite', 'arm-stiffness-or-tightness']","[32, 28, 16, 12, 12, 12, 6]","Condition: Primary immunodeficiency. Patient reports: Fatigue, Cough, Frontal headache, Painful sinuses, Upper abdominal pain, Decreased appetite, Arm stiffness or tightness.",7,32,16.857142857142858,0,3,0,consult_gp,False,20,1
Leptospirosis,leptospirosis,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger']","['pain-in-eye', 'shoulder-cramps-or-spasms', 'facial-pain', 'ankle-pain', 'wrist-pain', 'pain-during-pregnancy', 'excessive-anger']","[91, 91, 91, 91, 91, 91, 91]","Condition: Leptospirosis. Patient reports: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain, Wrist pain, Pain during pregnancy, Excessive anger.",7,91,91.0,0,0,0,self_monitor,False,22,0
Ovarian torsion,ovarian-torsion,"['Sharp abdominal pain', 'Lower abdominal pain', 'Pelvic pain', 'Ache all over', 'Groin mass', 'Unwanted hair', 'Symptoms of bladder']","['sharp-abdominal-pain', 'lower-abdominal-pain', 'pelvic-pain', 'ache-all-over', 'groin-mass', 'unwanted-hair', 'symptoms-of-bladder']","[63, 48, 44, 25, 18, 10, 10]","Condition: Ovarian torsion. Patient reports: Sharp abdominal pain, Lower abdominal pain, Pelvic pain, Ache all over, Groin mass, Unwanted hair, Symptoms of bladder.",7,63,31.142857142857142,0,1,0,consult_gp,False,23,1
Food allergy,food-allergy,"['Allergic reaction', 'Skin rash', 'Itching of skin', 'Nasal congestion', 'Vomiting', 'Wheezing', 'Cough']","['allergic-reaction', 'skin-rash', 'itching-of-skin', 'nasal-congestion', 'vomiting', 'wheezing', 'cough']","[85, 62, 38, 36, 31, 28, 28]","Condition: Food allergy. Patient reports: Allergic reaction, Skin rash, Itching of skin, Nasal congestion, Vomiting, Wheezing, Cough.",7,85,44.0,0,2,1,consult_gp,False,17,1
Open wound of the arm,open-wound-of-the-arm,"['Arm pain', 'Elbow pain', 'Redness in or around nose', 'Elbow lump or mass', 'Hand or finger weakness', 'Elbow swelling', 'Knee weakness']","['arm-pain', 'elbow-pain', 'redness-in-or-around-nose', 'elbow-lump-or-mass', 'hand-or-finger-weakness', 'elbow-swelling', 'knee-weakness']","[26, 12, 2, 1, 1, 1, 1]","Condition: Open wound of the arm. Patient reports: Arm pain, Elbow pain, Redness in or around nose, Elbow lump or mass, Hand or finger weakness, Elbow swelling, Knee weakness.",7,26,6.285714285714286,0,0,0,self_monitor,False,29,0
Bronchiectasis,bronchiectasis,"['Cough', 'Shortness of breath', 'Hemoptysis', 'Difficulty breathing', 'Coughing up sputum', 'Nasal congestion', 'Coryza']","['cough', 'shortness-of-breath', 'hemoptysis', 'difficulty-breathing', 'coughing-up-sputum', 'nasal-congestion', 'coryza']","[74, 56, 47, 41, 41, 34, 34]","Condition: Bronchiectasis. Patient reports: Cough, Shortness of breath, Hemoptysis, Difficulty breathing, Coughing up sputum, Nasal congestion, Coryza.",7,74,46.71428571428572,2,0,1,urgent,False,17,2
Ear drum damage,ear-drum-damage,"['Ear pain', 'Diminished hearing', 'Fluid in ear', 'Redness in ear', 'Bleeding from ear', 'Nasal congestion', 'Cough']","['ear-pain', 'diminished-hearing', 'fluid-in-ear', 'redness-in-ear', 'bleeding-from-ear', 'nasal-congestion', 'cough']","[80, 60, 43, 41, 30, 28, 25]","Condition: Ear drum damage. Patient reports: Ear pain, Diminished hearing, Fluid in ear, Redness in ear, Bleeding from ear, Nasal congestion, Cough.",7,80,43.85714285714285,0,1,1,consult_gp,False,22,1
Cerebral edema,cerebral-edema,"['Headache', 'Neck pain', 'Focal weakness', 'Diminished vision', 'Vomiting', 'Difficulty speaking', 'Loss of sensation']","['headache', 'neck-pain', 'focal-weakness', 'diminished-vision', 'vomiting', 'difficulty-speaking', 'loss-of-sensation']","[84, 63, 52, 44, 44, 34, 34]","Condition: Cerebral edema. Patient reports: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking, Loss of sensation.",7,84,50.71428571428572,0,2,0,consult_gp,False,18,1
Seborrheic dermatitis,seborrheic-dermatitis,"['Skin rash', 'Skin dryness, peeling, scaliness, or roughness', 'Abnormal appearing skin', 'Itching of skin', 'Irregular appearing scalp', 'Dry or flaky scalp', 'Itchy scalp']","['skin-rash', 'skin-dryness-peeling-scaliness-or-roughness', 'abnormal-appearing-skin', 'itching-of-skin', 'irregular-appearing-scalp', 'dry-or-flaky-scalp', 'itchy-scalp']","[74, 49, 47, 40, 38, 34, 32]","Condition: Seborrheic dermatitis. Patient reports: Skin rash, Skin dryness, peeling, scaliness, or roughness, Abnormal appearing skin, Itching of skin, Irregular appearing scalp, Dry or flaky scalp, Itchy scalp.",7,74,44.85714285714285,0,1,0,self_monitor,True,28,0
Obesity,obesity,"['Weight gain', 'Abnormal breathing sounds', 'Sleepiness', 'Apnea', 'Excessive appetite']","['weight-gain', 'abnormal-breathing-sounds', 'sleepiness', 'apnea', 'excessive-appetite']","[56, 10, 10, 10, 4]","Condition: Obesity. Patient reports: Weight gain, Abnormal breathing sounds, Sleepiness, Apnea, Excessive appetite.",5,56,18.0,0,0,0,self_monitor,True,13,0
Psoriasis,psoriasis,"['Skin rash', 'Itching of skin', 'Skin dryness, peeling, scaliness, or roughness', 'Skin lesion', 'Abnormal appearing skin', 'Itchy scalp', 'Irregular appearing scalp']","['skin-rash', 'itching-of-skin', 'skin-dryness-peeling-scaliness-or-roughness', 'skin-lesion', 'abnormal-appearing-skin', 'itchy-scalp', 'irregular-appearing-scalp']","[64, 38, 26, 24, 22, 16, 14]","Condition: Psoriasis. Patient reports: Skin rash, Itching of skin, Skin dryness, peeling, scaliness, or roughness, Skin lesion, Abnormal appearing skin, Itchy scalp, Irregular appearing scalp.",7,64,29.142857142857142,0,1,0,consult_gp,False,25,1
Croup,croup,"['Cough', 'Fever', 'Difficulty breathing', 'Nasal congestion', 'Wheezing', 'Shortness of breath', 'Vomiting']","['cough', 'fever', 'difficulty-breathing', 'nasal-congestion', 'wheezing', 'shortness-of-breath', 'vomiting']","[94, 77, 66, 66, 50, 37, 32]","Condition: Croup. Patient reports: Cough, Fever, Difficulty breathing, Nasal congestion, Wheezing, Shortness of breath, Vomiting.",7,94,60.285714285714285,2,2,1,urgent,False,15,2
Thoracic aortic aneurysm,thoracic-aortic-aneurysm,"['Sharp chest pain', 'Dizziness', 'Back pain', 'Shortness of breath', 'Sharp abdominal pain', 'Fatigue', 'Chest tightness']","['sharp-chest-pain', 'dizziness', 'back-pain', 'shortness-of-breath', 'sharp-abdominal-pain', 'fatigue', 'chest-tightness']","[68, 42, 38, 38, 29, 23, 17]","Condition: Thoracic aortic aneurysm. Patient reports: Sharp chest pain, Dizziness, Back pain, Shortness of breath, Sharp abdominal pain, Fatigue, Chest tightness.",7,68,36.42857142857143,3,4,0,urgent,True,21,2
Pericarditis,pericarditis,"['Sharp chest pain', 'Shortness of breath', 'Difficulty breathing', 'Chest tightness', 'Sharp abdominal pain', 'Nausea', 'Irregular heartbeat']","['sharp-chest-pain', 'shortness-of-breath', 'difficulty-breathing', 'chest-tightness', 'sharp-abdominal-pain', 'nausea', 'irregular-heartbeat']","[88, 66, 45, 45, 28, 28, 21]","Condition: Pericarditis. Patient reports: Sharp chest pain, Shortness of breath, Difficulty breathing, Chest tightness, Sharp abdominal pain, Nausea, Irregular heartbeat.",7,88,45.85714285714285,4,1,0,urgent,False,20,2
Thalassemia,thalassemia,"['Congestion in chest', 'Insomnia', 'Fatigue', 'Regurgitation', 'Coryza', 'Knee swelling', 'Diminished vision']","['congestion-in-chest', 'insomnia', 'fatigue', 'regurgitation', 'coryza', 'knee-swelling', 'diminished-vision']","[23, 23, 23, 23, 23, 23, 23]","Condition: Thalassemia. Patient reports: Congestion in chest, Insomnia, Fatigue, Regurgitation, Coryza, Knee swelling, Diminished vision.",7,23,23.0,0,1,0,consult_gp,False,15,1
Crohn disease,crohn-disease,"['Sharp abdominal pain', 'Diarrhea', 'Vomiting', 'Nausea', 'Burning abdominal pain', 'Blood in stool', 'Rectal bleeding']","['sharp-abdominal-pain', 'diarrhea', 'vomiting', 'nausea', 'burning-abdominal-pain', 'blood-in-stool', 'rectal-bleeding']","[74, 42, 38, 33, 20, 17, 15]","Condition: Crohn disease. Patient reports: Sharp abdominal pain, Diarrhea, Vomiting, Nausea, Burning abdominal pain, Blood in stool, Rectal bleeding.",7,74,34.142857142857146,0,3,0,consult_gp,False,19,1
Kaposi sarcoma,kaposi-sarcoma,"['Leg pain', 'Foot or toe pain', 'Cough', 'Lip swelling', 'Skin lesion', 'Depression', 'Sharp abdominal pain']","['leg-pain', 'foot-or-toe-pain', 'cough', 'lip-swelling', 'skin-lesion', 'depression', 'sharp-abdominal-pain']","[45, 45, 45, 45, 45, 45, 45]","Condition: Kaposi sarcoma. Patient reports: Leg pain, Foot or toe pain, Cough, Lip swelling, Skin lesion, Depression, Sharp abdominal pain.",7,45,45.0,0,1,0,consult_gp,False,20,1
Breast cyst,breast-cyst,"['Lump or mass of breast', 'Pain or soreness of breast', 'Bleeding or discharge from nipple', 'Skin growth', 'Neck mass', 'Warts', 'Irregular belly button']","['lump-or-mass-of-breast', 'pain-or-soreness-of-breast', 'bleeding-or-discharge-from-nipple', 'skin-growth', 'neck-mass', 'warts', 'irregular-belly-button']","[89, 56, 21, 21, 6, 6, 6]","Condition: Breast cyst. Patient reports: Lump or mass of breast, Pain or soreness of breast, Bleeding or discharge from nipple, Skin growth, Neck mass, Warts, Irregular belly button.",7,89,29.285714285714285,0,0,0,self_monitor,False,28,0
Chronic sinusitis,chronic-sinusitis,"['Cough', 'Nasal congestion', 'Headache', 'Sore throat', 'Fever', 'Frontal headache', 'Coryza']","['cough', 'nasal-congestion', 'headache', 'sore-throat', 'fever', 'frontal-headache', 'coryza']","[75, 75, 62, 59, 48, 40, 39]","Condition: Chronic sinusitis. Patient reports: Cough, Nasal congestion, Headache, Sore throat, Fever, Frontal headache, Coryza.",7,75,56.85714285714285,0,3,1,consult_gp,False,15,1
Fetal alcohol syndrome,fetal-alcohol-syndrome,"['Excessive anger', 'Temper problems', 'Lack of growth', 'Eye redness', 'Depressive or psychotic symptoms', 'Hostile behavior', 'Smoking problems']","['excessive-anger', 'temper-problems', 'lack-of-growth', 'eye-redness', 'depressive-or-psychotic-symptoms', 'hostile-behavior', 'smoking-problems']","[58, 58, 40, 40, 40, 40, 40]","Condition: Fetal alcohol syndrome. Patient reports: Excessive anger, Temper problems, Lack of growth, Eye redness, Depressive or psychotic symptoms, Hostile behavior, Smoking problems.",7,58,45.142857142857146,0,0,0,self_monitor,False,23,0
Injury to the finger,injury-to-the-finger,"['Hand or finger pain', 'Hand or finger swelling', 'Hand or finger stiffness or tightness', 'Hand or finger weakness', 'Swelling of scrotum', 'Hand or finger lump or mass']","['hand-or-finger-pain', 'hand-or-finger-swelling', 'hand-or-finger-stiffness-or-tightness', 'hand-or-finger-weakness', 'swelling-of-scrotum', 'hand-or-finger-lump-or-mass']","[66, 35, 8, 3, 3, 3]","Condition: Injury to the finger. Patient reports: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Hand or finger weakness, Swelling of scrotum, Hand or finger lump or mass.",6,66,19.666666666666668,0,0,0,self_monitor,False,34,0
